source,url,date,title,img,summary,Prediction,Probability,Content
Financial Express,https://www.financialexpress.com/industry/technology/google-cloud-md-post-covid-phase-to-witness-exponential-growth-in-cloud-computing/1998169/,3 weeks ago,"Post-Covid phase to witness exponential growth in cloud computing: Karan Bajwa, MD, Google Cloud India","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","... as more agile organisations turn to technology to stay connected and productive,” says Karan Bajwa, managing director, Google Cloud India.",cloud,0.6572287957936712,"... as more agile organisations turn to technology to stay connected and productive,” says Karan Bajwa, managing director, Google Cloud India."
Livemint,https://www.livemint.com/companies/news/indian-apps-rush-to-scale-tech-backbone-to-meet-rising-demand-11594214617110.html,1 week ago,Indian apps firm up tech backbone amid demand surge,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Mumbai/New Delhi: Indian apps, which had begun scaling up their cloud back-end to cope with increased usage during the lockdown, are now ...",cloud,0.5149081410331654,"Mumbai/New Delhi: Indian apps, which had begun scaling up their cloud back-end to cope with increased usage during the lockdown, are now ..."
Express Computer,https://www.expresscomputer.in/guest-blogs/covid-19-has-fast-tracked-indian-iot-sector-to-become-aatmanirbhar/58594/,3 weeks ago,COVID-19 Has Fast Tracked Indian IoT Sector To Become Aatmanirbhar,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","By Arun Gupta, founder and CEO of MoMAGIC Technologies, a Data ... Indian tech companies in the space of the Internet of Things (IoT) are ...",iot,0.8743323345295793,"By Arun Gupta, founder and CEO of MoMAGIC Technologies, a Data ... Indian tech companies in the space of the Internet of Things (IoT) are ..."
YourStory.com,https://yourstory.com/2020/07/12-startups-qdic-raising-innovation,51 mins ago,"From a platform facilitating the internet of underwater things to a soil intelligence system, meet the 12 star","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","For hardware and deep-tech startups, the Qualcomm Design in India ... biometric devices, medical technology and rural IoT domains.",iot,0.8610628156167338,"For hardware and deep-tech startups, the Qualcomm Design in India ... biometric devices, medical technology and rural IoT domains."
Observer Research Foundation,https://www.orfonline.org/research/modern-technology-for-sustainable-forest-management-in-india/,2 days ago,Modern Technology for Sustainable Forest Management in India,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","This brief explores the potential of the Internet of Things (IoT)—in particular, the use of smart sensors or 'green bots'—in helping meet India's ...",iot,0.9255610536424415,"This brief explores the potential of the Internet of Things (IoT)—in particular, the use of smart sensors or 'green bots'—in helping meet India's ..."
Samsung Newsroom India,https://news.samsung.com/in/samsung-launches-connected-refrigerator-spacemax-family-hub-in-india-expands-iot-portfolio,4 days ago,Samsung Launches Connected Refrigerator SpaceMax ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","... Refrigerator SpaceMax Family Hub™ in India, Expands IoT Portfolio ... Family Hub™ refrigerator that is part of the next technology revolution.",iot,0.7061235611384629,"... Refrigerator SpaceMax Family Hub™ in India, Expands IoT Portfolio ... Family Hub™ refrigerator that is part of the next technology revolution."
,https://www.prnewswire.com/in/news-releases/india-emerges-as-a-hotbed-of-iot-opportunities-as-the-indian-iot-market-is-set-to-soar-to-usd-15-billion-by-2021-says-zinnov-882132112.html,1 month ago,India Emerges as a Hotbed of IoT Opportunities as the Indian ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Zinnov estimated that the IoT investments in India were close to USD 5 ... by 2021 across both technology products and services components.,iot,0.9683774049163995,Zinnov estimated that the IoT investments in India were close to USD 5 ... by 2021 across both technology products and services components.
,http://bwsmartcities.businessworld.in/article/Dell-Technologies-enables-Indian-Businesses-to-harness-the-Power-of-Software-with-Dell-EMC-PowerFlex-/17-07-2020-298510,6 hours ago,Dell Technologies enables Indian Businesses to harness the ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Due to the rapid adoption of digital transformation and increased proliferation of new-age technologies like AI, IoT, analytics etc., it is more ...",iot,0.46673248773823534,"Due to the rapid adoption of digital transformation and increased proliferation of new-age technologies like AI, IoT, analytics etc., it is more ..."
DATAQUEST,https://www.dqindia.com/data-management-is-most-fundamental-and-possibly-most-complex-citiustech/,44 mins ago,"Data management is most fundamental, and possibly, most complex: CitiusTech","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","CitiusTech is a specialist provider of healthcare technology services and solutions, ... and quality of care across the healthcare ecosystem in India. ... Next-gen technologies like IoT, Big Data, cloud, edge computing, ML, etc., ...",cloud,0.4444071747872983,"CitiusTech is a specialist provider of healthcare technology services and solutions, ... and quality of care across the healthcare ecosystem in India. ... Next-gen technologies like IoT, Big Data, cloud, edge computing, ML, etc., ..."
DATAQUEST,https://www.dqindia.com/iot-technologies-helping-businesses-adapt-new-normal/,1 week ago,IoT technologies helping businesses adapt to new normal,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","PropTech will be greatly affected by technologies like IoT, AI, VR/MR and ... Despite the digital payment revolution, India is still a cash economy.",iot,0.7025418346563425,"PropTech will be greatly affected by technologies like IoT, AI, VR/MR and ... Despite the digital payment revolution, India is still a cash economy."
Financial Express,https://www.financialexpress.com/industry/technology/vivo-plans-to-launch-designed-in-india-phones-soon-will-also-bump-up-local-manufacturing/2026171/,1 day ago,Vivo plans to launch designed in India phones soon; will also bump up local manufacturing,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Vivo plans to launch designed in India phones soon; will also bump up ... TWS Neo in a move to start developing the internet of things (IoT) product. ... the premium smartphone segment with X50 series with 5G technology.,iot,0.8365852596269155,Vivo plans to launch designed in India phones soon; will also bump up ... TWS Neo in a move to start developing the internet of things (IoT) product. ... the premium smartphone segment with X50 series with 5G technology.
The Sentinel Assam,https://www.sentinelassam.com/business/india-needs-flawless-iot-connectivity-to-be-truly-atmanirbhar-484449,3 weeks ago,India needs flawless IoT connectivity to be truly Atmanirbhar - Sentinelassam,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",The world is witnessing the fourth industrial revolution. Ever newer technologies are changing the way industries.,other,0.31741401541072495,The world is witnessing the fourth industrial revolution. Ever newer technologies are changing the way industries. India. Sentinel Digital Desk ...
Financial Express,https://www.financialexpress.com/industry/technology/vivo-plans-to-launch-designed-in-india-phones-soon-will-also-bump-up-local-manufacturing/2026171/,1 day ago,Vivo plans to launch designed in India phones soon; will also bump up local manufacturing,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",The first product from Vivo that will be designed and made in India will ... the premium smartphone segment with X50 series with 5G technology.,telecom,0.5025001320435939,The first product from Vivo that will be designed and made in India will ... the premium smartphone segment with X50 series with 5G technology.
The Indian Express,https://indianexpress.com/article/technology/tech-news-technology/xiaomi-global-ecosystem-launch-2020-tv-stick-scooter-band-5-6501914/,5 days ago,"Xiaomi global product launch event on July 15: Mi TV Stick, Mi Scooter expected","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Technology News,The Indian Express ...",industry,0.643392185019766,"Technology News,The Indian Express ..."
Jagran English,https://english.jagran.com/business/reliance-43rd-agm-2020-live-news-updates-mukesh-ambani-jio-platforms-reliance-industries-limited-announcements-first-virtual-annual-general-meeting-10014009,2 days ago,"Reliance 43rd AGM: 'Will work to promote Made-in-India, Made-for-India and Made-for-the-World products' | Highlights","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","3:35 pm: Reliance will work with other Indian companies, including start-ups, ... of ways—whether it be technology development, product development, ... be largely on product launches around RIL's partnership with Facebook ...",industry,0.4390282190589356,"3:35 pm: Reliance will work with other Indian companies, including start-ups, ... of ways—whether it be technology development, product development, ... be largely on product launches around RIL's partnership with Facebook ..."
Financial Express,https://www.financialexpress.com/industry/technology/boycott-china-call-spoils-oppos-biggest-product-launch-in-india/1995666/,1 month ago,Boycott China call spoils Oppo’s biggest product launch in India,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Click here to join our channel and stay updated with the latest Biz news and updates. Home · INDUSTRY · TECHNOLOGY ...,other,0.3888715177448193,Click here to join our channel and stay updated with the latest Biz news and updates. Home · INDUSTRY · TECHNOLOGY ...
India.com,https://www.india.com/technology/google-shoploop-now-experience-look-and-feel-of-real-life-products-without-actually-visiting-a-store-4087450/,2 hours ago,"Google 'Shoploop': Now, Experience Look And Feel of Real-Life Products Without Actually Visiting a Store","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","San Francisco: Google has launched an interactive video shopping platform ... Also Read - BREAKING: American Tech Giants Google-Apple Remove ... Android Smartphone, Partners With Google for 'Make in India' Product.",cc,0.43690895129477175,"San Francisco: Google has launched an interactive video shopping platform ... Also Read - BREAKING: American Tech Giants Google-Apple Remove ... Android Smartphone, Partners With Google for 'Make in India' Product."
TechnoSports,https://technosports.co.in/2020/07/17/techsamvad-media-group-enters-partners-with-amx-india-to-launch-amx-firefly-earphones/,5 hours ago,TechSamvad Media Group partners with AMX India to launch AMX FireFly earphones,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","While our technology and business reporting in Hindi reaches out to a mass audience, we want our products to make a mark as well, known for ...",other,0.3659248739019898,"While our technology and business reporting in Hindi reaches out to a mass audience, we want our products to make a mark as well, known for ..."
The Indian Express,https://indianexpress.com/article/technology/tech-news-technology/oneplus-earbuds-tws-july-21-launch-6503795/,3 days ago,OnePlus Buds will launch alongside OnePlus Nord; here are the details,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","OnePlus has finally announced that it will launch its True Wireless (TWS) ... OnePlus India (@OnePlus_IN) July 13, 2020 ... The OnePlus Nord and TWS Buds will be launched via AR launch which will be a one of a kind product launch.",other,0.3515559075388102,"OnePlus has finally announced that it will launch its True Wireless (TWS) ... OnePlus India (@OnePlus_IN) July 13, 2020 ... The OnePlus Nord and TWS Buds will be launched via AR launch which will be a one of a kind product launch. ... For all the latest Technology News, download Indian Express App."
Livemint,https://www.livemint.com/news/india/govt-launches-iit-delhi-s-covid-19-test-kit-for-commercial-use-at-rs-399-11594816842697.html,1 day ago,Govt launches IIT Delhi’s covid-19 test kit for commercial use at ₹399,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Approved by the Indian Medical Council of India and Drug Control General of India, the commercial product named 'Corosure' was commercially ... to manufacture covid-19 diagnostic kit using the technology developed by its ...",industry,0.6553509359575513,"Approved by the Indian Medical Council of India and Drug Control General of India, the commercial product named 'Corosure' was commercially ... to manufacture covid-19 diagnostic kit using the technology developed by its ..."
Dalal Street Investment Journal,https://www.dsij.in/DSIJArticleDetail/ArtMID/10163/ArticleID/13896/Majesco-launches-new-product-portal-to-provide-access-to-latest-information,4 hours ago,Majesco launches new product portal to provide access to ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Majesco launches new product portal to provide access to latest information ... and insight to product roadmaps and future of insurance technologies. ... Mexico, the United Kingdom, Malaysia, Singapore, Ireland and India.",other,0.37902342793732324,"Majesco launches new product portal to provide access to latest information ... and insight to product roadmaps and future of insurance technologies. ... Mexico, the United Kingdom, Malaysia, Singapore, Ireland and India."
BGR India,https://www.bgr.in/news/oneplus-buds-listed-on-flipkart-ahead-of-the-july-21-launch-to-feature-warp-charge-details-specifications-features-launch-price-in-india-903446/,18 hours ago,"OnePlus Buds listed on Flipkart, will feature Warp Charge | BGR India","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",... the TWS just made its way to Flipkart ahead of the July 21 launch in India. ...,other,0.3334651324848085,"... the TWS just made its way to Flipkart ahead of the July 21 launch in India. ... This TWS product comes almost 5 years after the first headphones, and 2 ... the “Warp Charge” technology along with some interesting numbers."
,http://www.mondaq.com/india/corporate-and-company-law/966684/key-legal-aspects-in-the-acqusition-of-start-up-companies-with-innovative-technologies-,4 hours ago,Key Legal Aspects In The Acqusition Of Start-Up Companies ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Acquisitions of start-up companies with innovative technologies ... of the government of India) in case the acquisition is in the technology sector.,other,0.2750835459741544,Acquisitions of start-up companies with innovative technologies ... of the government of India) in case the acquisition is in the technology sector.
ETTelecom.com,https://telecom.economictimes.indiatimes.com/news/lt-tech-services-to-acquire-orchestra-tech-for-rs-187-cr/77010698,8 hours ago,L&T Tech Services to acquire Orchestra Tech for Rs 187 cr,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","New Delhi: IT company L&T Technology Services on Thursday said it will acquire 100 per cent stake in Texas-based Orchestra Technology, which provides ...",industry,0.40184613018770377,"New Delhi: IT company L&T Technology Services on Thursday said it will acquire 100 per cent stake in Texas-based Orchestra Technology, which provides ..."
Livemint,https://www.livemint.com/news/india/how-shiv-nadar-became-the-original-make-in-india-entrepreneur-11594978720221.html,1 hour ago,How Shiv Nadar became the original Make-in-India entrepreneur,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","In 2019, HCL Technologies completed an acquisition of IBM products around security, marketing, commerce and digital solutions for $1.8 ...",other,0.3459633884821125,"In 2019, HCL Technologies completed an acquisition of IBM products around security, marketing, commerce and digital solutions for $1.8 ..."
Foreign Policy,https://foreignpolicy.com/2020/07/16/india-fighting-china-means-forgetting-russia/,16 hours ago,"To Fight China, India Needs to Forget Russia","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","During the Cold War, when India had a strategic partnership with the former Soviet Union, it made much sense to acquire military technology ...",industry,0.48924566754562104,"During the Cold War, when India had a strategic partnership with the former Soviet Union, it made much sense to acquire military technology ..."
Hindustan Times,https://www.hindustantimes.com/india-news/india-eyes-acquisition-of-predator-drones-from-us/story-nVOOMnUWNh7KokbqE9uVYM.html,1 week ago,India eyes acquisition of Predator-B drones from US,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","While the US is willing to support India's high-tech weapon requirements, it is wary of supplying the Predator-B drone for fear of leakage of the ...",other,0.3698579632136325,"While the US is willing to support India's high-tech weapon requirements, it is wary of supplying the Predator-B drone for fear of leakage of the ..."
CNBCTV18,https://www.cnbctv18.com/business/nazara-completes-majority-stake-acquisition-in-kiddopia-6341161.htm,1 day ago,Nazara Technologies completes majority stake acquisition in edutainment app Kiddopia,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Paper Boat Apps are developers of the popular 'Made in India' app Kiddopia catering to young children in the age bracket of 2 to 7 years old. This ...,other,0.3033059351880792,Paper Boat Apps are developers of the popular 'Made in India' app Kiddopia catering to young children in the age bracket of 2 to 7 years old. This ...
,http://www.globallegalchronicle.com/haldia-petrochemicals-limiteds-2-725-billion-acquisition-of-lummus-technology/,11 hours ago,Haldia Petrochemicals Limited's $2.725 Billion Acquisition Of ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Irwin Mitchell acted for State Bank of India as lead bank in respect of its syndicated ... biotech, financial services, real estate and technology.",other,0.3646074547273773,"Irwin Mitchell acted for State Bank of India as lead bank in respect of its syndicated ... biotech, financial services, real estate and technology."
ETTelecom.com,https://telecom.economictimes.indiatimes.com/news/ril-is-looking-to-lead-indias-4th-industrial-revolution/77010781,8 hours ago,RIL is looking to lead India's 4th Industrial Revolution,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",L&T Tech Services to acquire Orchestra Tech for Rs 187 cr. IT company L&T Technology Services on Thursday said it will acquire 100 per cent stake in Texas- ...,other,0.37664745697858604,L&T Tech Services to acquire Orchestra Tech for Rs 187 cr. IT company L&T Technology Services on Thursday said it will acquire 100 per cent stake in Texas- ...
Airforce Technology,https://www.airforce-technology.com/news/india-acquisition-fighter-jets-from-russia/,2 weeks ago,Government of India approves acquisition of 33 fighter jets,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Sign-up for industry news. New technologies, news, new products, essential guides and more.",other,0.37283767917653965,"Sign-up for industry news. New technologies, news, new products, essential guides and more. Subscribe ..."
ETTelecom.com,https://telecom.economictimes.indiatimes.com/news/google-cloud-to-aggressively-invest-in-india-ceo-thomas-kurian/77010885,7 hours ago,Google Cloud to aggressively invest in India: CEO Thomas Kurian,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",L&T Tech Services to acquire Orchestra Tech for Rs 187 cr. IT company L&T Technology Services on Thursday said it will acquire 100 per cent stake in Texas- ...,other,0.37664745697858604,L&T Tech Services to acquire Orchestra Tech for Rs 187 cr. IT company L&T Technology Services on Thursday said it will acquire 100 per cent stake in Texas- ...
Business Standard,https://www.business-standard.com/article/finance/complete-tech-integration-with-obc-united-bank-of-india-this-fiscal-pnb-120062301525_1.html,3 weeks ago,"Complete tech integration with OBC, United Bank of India this fiscal: PNB","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",The merger of Oriental Bank of Commerce and United Bank of India with Punjab National Bank became effective from April 1. With the merger ...,other,0.3279402564249317,The merger of Oriental Bank of Commerce and United Bank of India with Punjab National Bank became effective from April 1. With the merger ...
Economic Times,https://economictimes.indiatimes.com/tech/ites/oracle-launches-second-data-centre-in-india/articleshow/76692346.cms,2 weeks ago,Oracle launches second data centre in India,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","We are associated with Indian Bank, Canara Bank and Union Bank and are helping them with their merger strategy. Lot of technology has also ...",industry,0.40493324383807694,"We are associated with Indian Bank, Canara Bank and Union Bank and are helping them with their merger strategy. Lot of technology has also ..."
ETAuto.com,https://auto.economictimes.indiatimes.com/news/passenger-vehicle/cars/fiat-chrysler-psa-to-emerge-as-stellantis-following-merger-in-2021/76990453,1 day ago,"FCA, PSA to be renamed as Stellantis post merger in 2021","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Paris: The combined company resulting from the merger of Italian-American carmaker Fiat Chrysler Automobiles and France's Peugeot owner PSA will be called ...,industry,0.5282656370230963,Paris: The combined company resulting from the merger of Italian-American carmaker Fiat Chrysler Automobiles and France's Peugeot owner PSA will be called ...
Gadgets Now,https://www.gadgetsnow.com/tech-news/hitachi-completes-merger-of-power-india-with-abb-power-grids/articleshow/76735261.cms,2 weeks ago,Hitachi completes merger of Power India with ABB Power Grids,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","The companies said the merger ensures that the complementary portfolios and technology strengths will enable continuity, enhance customer ...",other,0.3252213597416661,"The companies said the merger ensures that the complementary portfolios and technology strengths will enable continuity, enhance customer ..."
Toolbox,https://it.toolbox.com/news/latest-funding-merger-acquisitions-and-new-partnerships-week-of-july-13-2020,1 day ago,"Latest Funding, Merger, Acquisitions and New Partnerships ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","... India, IBM and Wipro expand in Brazil, UiPath valuation crosses $10B, new HPE acquisition and other exciting news in technology this week.",industry,0.5701236629030569,"... India, IBM and Wipro expand in Brazil, UiPath valuation crosses $10B, new HPE acquisition and other exciting news in technology this week."
ThePrint,https://theprint.in/economy/modi-govt-drops-plan-to-merge-3-state-owned-general-insurance-companies/457063/,1 week ago,Modi govt drops plan to merge 3 state-owned general insurance companies,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","... United India Insurance Co Ltd, and Oriental Insurance Co Ltd — into a single entity ... like the different technology platforms, seems to have forced a rethink. In addition, the fact that a merged large entity with weak financials will not ... on providing insurance rather than the merger,” the official told ThePrint.",industry,0.48748642658607394,"... United India Insurance Co Ltd, and Oriental Insurance Co Ltd — into a single entity ... like the different technology platforms, seems to have forced a rethink. In addition, the fact that a merged large entity with weak financials will not ... on providing insurance rather than the merger,” the official told ThePrint."
http://www.manufacturingtodayindia.com/,https://www.manufacturingtodayindia.com/products-suppliers/7836-ingersoll-rand-rolls-out-new-range-of-rotary-screw-compressor,1 day ago,Ingersoll Rand rolls out new range of rotary screw compressor,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Amar Kaul, Chairman and Managing Director, Ingersoll-Rand (India) said, “Ingersoll ... The merger of Ingersoll Rand with Garden Denver will help offer our ...",industry,0.5413015936934618,"Amar Kaul, Chairman and Managing Director, Ingersoll-Rand (India) said, “Ingersoll ... The merger of Ingersoll Rand with Garden Denver will help offer our ... The company has been operating in Industrial Technologies and ..."
CRN.in,https://www.crn.in/news/apollo-complete-tech-data-acquisition/,2 weeks ago,Apollo complete Tech Data acquisition,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","As a result of the completion of the merger, shares of Tech Data's common stock no longer trade on the NASDAQ Global Select Market.",industry,0.4786348476740076,"As a result of the completion of the merger, shares of Tech Data's common stock no longer trade on the NASDAQ Global Select Market."
ETTelecom.com,https://telecom.economictimes.indiatimes.com/news/airtel-shareholders-to-meet-over-merger-of-vsat-operations-on-jul-31/76691676,2 weeks ago,Airtel shareholders to meet over merger of VSAT operations on Jul 31,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Jio-Google tie up can shake up India's smartphone mkt, threaten Chinese players. Global tech leader Google and Reliance Jio's combined efforts to launch an ...",telecom,0.5111872442707174,"Jio-Google tie up can shake up India's smartphone mkt, threaten Chinese players. Global tech leader Google and Reliance Jio's combined efforts to launch an ..."
Deccan Chronicle,https://www.deccanchronicle.com/technology/in-other-news/010720/here-are-indian-alternatives-to-the-59-banned-chinese-apps.html,2 weeks ago,Here are Indian alternatives to the 59 banned Chinese apps,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",But does aatmanirbhar India have the alternatives to these apps that ... The ban on Chinese applications offers an opportunity for India's tech ecosystem.,other,0.3937542048238662,But does aatmanirbhar India have the alternatives to these apps that ... The ban on Chinese applications offers an opportunity for India's tech ecosystem. ... this multiplatform music streaming service announced a merger with ...
JURIST,https://www.jurist.org/commentary/2020/07/bora-bansal-mitron-app/,7 hours ago,India's Data Privacy Laws and the Removal of the Mitron App,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","India's Data Privacy Laws and the Removal of the Mitron App ... This fundamental right is ensured by a privacy policy, which is the basis of trust ...",industry,0.41275699659769677,"India's Data Privacy Laws and the Removal of the Mitron App ... This fundamental right is ensured by a privacy policy, which is the basis of trust ... This Bill seeks to repeal section 43A of the Information Technology Act which is ..."
The Hindu,https://www.thehindu.com/opinion/op-ed/reforming-indias-digital-policy/article31966403.ece,2 weeks ago,Reforming India’s digital policy,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","However, Indian government policies will be key determinants in how ... to come — the Personal Data Protection Bill (PDPB), the e-commerce policy, and ... FDI and India's position as a global leader in information technology.",other,0.3947440896894246,"However, Indian government policies will be key determinants in how ... to come — the Personal Data Protection Bill (PDPB), the e-commerce policy, and ... FDI and India's position as a global leader in information technology."
Livemint,https://www.livemint.com/companies/news/cognizant-india-begins-hunt-for-a-new-cmd-11594944953181.html,10 hours ago,Cognizant India begins hunt for a new CMD,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","BENGALURU : Cognizant Technology Solutions Corp. is scouting for a ... and key policy-making bodies, including Nasscom,"" Brian Humphries, chief ... including cloud, digital engineering, data, and internet of things, ever ...",other,0.34897032764887675,"BENGALURU : Cognizant Technology Solutions Corp. is scouting for a ... and key policy-making bodies, including Nasscom,"" Brian Humphries, chief ... including cloud, digital engineering, data, and internet of things, ever ..."
Hindustan Times,https://www.hindustantimes.com/analysis/on-tech-india-was-naive-it-has-finally-woken-up/story-HwFvxarFb5QOdGT4EvEFYL.html,2 weeks ago,"On tech, India was naive. It has finally woken up | Opinion","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",India has also been naïve in its data protection policies and support for domestic innovation; it bought the old propaganda about the need for ...,other,0.3507862735629237,India has also been naïve in its data protection policies and support for domestic innovation; it bought the old propaganda about the need for ...
Deccan Chronicle,https://www.deccanchronicle.com/technology/in-other-news/150720/india-must-build-a-robust-app-ecosystem-to-curb-chinese-hold-on-its-di.html,1 day ago,India must build a robust app ecosystem to curb Chinese hold on its digital economy,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","But while the ban addresses India's data security concerns, it has uncovered India's ... Though largely confined to the Chinese market, China's tech companies ... India's startup policy does not exclusively focus on app-based ...",other,0.37295005154975897,"But while the ban addresses India's data security concerns, it has uncovered India's ... Though largely confined to the Chinese market, China's tech companies ... India's startup policy does not exclusively focus on app-based ..."
Business Insider India,https://www.businessinsider.in/tech/news/microsoft-introduces-new-security-technology-to-prevent-data-corruption/articleshow/76894487.cms,6 days ago,Microsoft introduces new security technology to prevent data corruption,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","KDP mitigates such attacks by ensuring that policy data structures cannot be tampered with,"" the tech giant said in a statement this week.",other,0.3158947309779953,"KDP mitigates such attacks by ensuring that policy data structures cannot be tampered with,"" the tech giant said in a statement this week."
The Times of India Blog,https://timesofindia.indiatimes.com/blogs/toi-editorials/tech-tonic-strategic-investments-by-global-tech-companies-is-heartening-regulators-must-up-their-game/,11 hours ago,Tech tonic: Strategic investments by global tech companies is heartening. Regulators must up their game,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",India's policy makers have to figure out how to keep competition bubbling without undermining ... Data is at the heart of technology businesses.,dc,0.42544211737043336,India's policy makers have to figure out how to keep competition bubbling without undermining ... Data is at the heart of technology businesses.
